ar_id,fm_to_ar_id,txn_amt,svc_br_no,opm_tp_cd,txn_cd,ptn_yyyy,ptn_mm,ptn_dd,txn_tm
A,B,10,900,DR,0,2017,1,3,5:00:00
B,A,10,900,CR,0,2017,1,3,5:00:00
A,B,100,900,CR,0,2017,1,3,11:00:00
B,A,100,900,DR,0,2017,1,3,11:00:00
A,B,10,900,DR,0,2017,1,3,17:00:00
B,A,10,900,CR,0,2017,1,3,17:00:00
A,B,100,900,CR,0,2017,1,3,23:00:00
B,A,100,900,DR,0,2017,1,3,23:00:00
A,B,10,900,DR,0,2017,3,3,5:00:00
B,A,10,900,CR,0,2017,3,3,5:00:00
A,B,100,900,CR,0,2017,3,3,11:00:00
B,A,100,900,DR,0,2017,3,3,11:00:00
A,B,10,900,DR,0,2017,3,3,17:00:00
B,A,10,900,CR,0,2017,3,3,17:00:00
A,B,100,900,CR,0,2017,3,3,23:00:00
B,A,100,900,DR,0,2017,3,3,23:00:00
A,B,10,900,DR,0,2017,3,4,5:00:00
B,A,10,900,CR,0,2017,3,4,5:00:00
A,B,100,900,CR,0,2017,3,4,11:00:00
B,A,100,900,DR,0,2017,3,4,11:00:00
A,B,10,900,DR,0,2017,3,4,17:00:00
B,A,10,900,CR,0,2017,3,4,17:00:00
A,B,100,900,CR,0,2017,3,4,23:00:00
B,A,100,900,DR,0,2017,3,4,23:00:00
A,B,10,900,DR,0,2017,7,5,5:00:00
B,A,10,900,CR,0,2017,7,5,5:00:00
A,B,100,900,CR,0,2017,7,5,11:00:00
B,A,100,900,DR,0,2017,7,5,11:00:00
A,B,10,900,DR,0,2017,7,5,17:00:00
B,A,10,900,CR,0,2017,7,5,17:00:00
A,B,100,900,CR,0,2017,7,5,23:00:00
B,A,100,900,DR,0,2017,7,5,23:00:00
A,A,10,900,DR,1,2017,1,3,5:00:00
A,A,10,900,DR,1,2017,1,3,5:00:00
A,A,100,900,DR,1,2017,1,3,11:00:00
A,A,100,900,DR,1,2017,1,3,11:00:00
A,A,10,900,DR,1,2017,1,3,17:00:00
A,A,10,900,DR,1,2017,1,3,17:00:00
A,A,100,900,DR,1,2017,1,3,23:00:00
A,A,100,900,DR,1,2017,1,3,23:00:00
A,A,10,900,DR,1,2017,3,3,5:00:00
A,A,10,900,DR,1,2017,3,3,5:00:00
A,A,100,900,DR,1,2017,3,3,11:00:00
A,A,100,900,DR,1,2017,3,3,11:00:00
A,A,10,900,DR,1,2017,3,3,17:00:00
A,A,10,900,DR,1,2017,3,3,17:00:00
A,A,100,900,DR,1,2017,3,3,23:00:00
A,A,100,900,DR,1,2017,3,3,23:00:00
A,A,10,900,DR,1,2017,3,4,5:00:00
A,A,10,900,DR,1,2017,3,4,5:00:00
A,A,100,900,DR,1,2017,3,4,11:00:00
A,A,100,900,DR,1,2017,3,4,11:00:00
A,A,10,900,DR,1,2017,3,4,17:00:00
A,A,10,900,DR,1,2017,3,4,17:00:00
A,A,100,900,DR,1,2017,3,4,23:00:00
A,A,100,900,DR,1,2017,3,4,23:00:00
A,A,10,900,DR,1,2017,7,5,5:00:00
A,A,10,900,DR,1,2017,7,5,5:00:00
A,A,100,900,DR,1,2017,7,5,11:00:00
A,A,100,900,DR,1,2017,7,5,11:00:00
A,A,10,900,DR,1,2017,7,5,17:00:00
A,A,10,900,DR,1,2017,7,5,17:00:00
A,A,100,900,DR,1,2017,7,5,23:00:00
A,A,100,900,DR,1,2017,7,5,23:00:00
A,A,10,900,CR,2,2017,1,3,5:00:00
A,A,10,900,CR,2,2017,1,3,5:00:00
A,A,100,900,CR,2,2017,1,3,11:00:00
A,A,100,900,CR,2,2017,1,3,11:00:00
A,A,10,900,CR,2,2017,1,3,17:00:00
A,A,10,900,CR,2,2017,1,3,17:00:00
A,A,100,900,CR,2,2017,1,3,23:00:00
A,A,100,900,CR,2,2017,1,3,23:00:00
A,A,10,900,CR,2,2017,3,3,5:00:00
A,A,10,900,CR,2,2017,3,3,5:00:00
A,A,100,900,CR,2,2017,3,3,11:00:00
A,A,100,900,CR,2,2017,3,3,11:00:00
A,A,10,900,CR,2,2017,3,3,17:00:00
A,A,10,900,CR,2,2017,3,3,17:00:00
A,A,100,900,CR,2,2017,3,3,23:00:00
A,A,100,900,CR,2,2017,3,3,23:00:00
A,A,10,900,CR,2,2017,3,4,5:00:00
A,A,10,900,CR,2,2017,3,4,5:00:00
A,A,100,900,CR,2,2017,3,4,11:00:00
A,A,100,900,CR,2,2017,3,4,11:00:00
A,A,10,900,CR,2,2017,3,4,17:00:00
A,A,10,900,CR,2,2017,3,4,17:00:00
A,A,100,900,CR,2,2017,3,4,23:00:00
A,A,100,900,CR,2,2017,3,4,23:00:00
A,A,10,900,CR,2,2017,7,5,5:00:00
A,A,10,900,CR,2,2017,7,5,5:00:00
A,A,100,900,CR,2,2017,7,5,11:00:00
A,A,100,900,CR,2,2017,7,5,11:00:00
A,A,10,900,CR,2,2017,7,5,17:00:00
A,A,10,900,CR,2,2017,7,5,17:00:00
A,A,100,900,CR,2,2017,7,5,23:00:00
A,A,100,900,CR,2,2017,7,5,23:00:00
