fm_ar_id,to_ar_id,ptn_yyyy,ptn_mm,ptn_dd,ptn_hr,ptn_min
128,140,2016,6,19,11,22
114,150,2016,8,4,13,37
131,120,2016,7,6,13,31
144,104,2016,9,10,11,32
133,130,2016,12,15,13,25
109,140,2016,6,19,22,33
116,146,2016,7,23,15,57
110,128,2016,10,29,20,55
101,123,2016,7,10,22,52
128,137,2016,8,30,20,38
108,114,2016,12,19,20,49
103,142,2016,12,31,18,5
135,123,2016,8,3,14,52
118,141,2016,7,27,15,19
138,145,2016,6,22,14,56
126,123,2016,11,25,21,39
110,107,2016,9,26,11,6
118,106,2016,6,29,11,25
134,101,2016,8,18,8,28
129,132,2016,10,12,14,28
110,150,2016,10,26,21,19
128,131,2016,8,5,12,55
147,107,2016,11,26,10,44
129,104,2016,9,30,23,47
132,142,2016,7,1,16,36
119,113,2016,9,17,8,12
140,131,2016,10,1,5,32
119,127,2016,9,24,12,42
113,112,2016,8,9,19,11
125,101,2016,11,26,6,37
113,136,2016,8,20,17,52
138,141,2016,11,27,9,54
101,113,2016,11,5,19,12
134,129,2016,11,20,14,51
142,117,2016,12,22,17,57
133,133,2016,10,3,19,37
138,102,2016,6,29,16,58
144,150,2016,9,15,22,11
131,107,2016,6,18,5,52
146,149,2016,12,17,10,51
144,104,2016,12,19,12,56
102,126,2016,6,25,20,39
124,130,2016,8,5,10,26
133,139,2016,10,14,20,50
106,134,2016,6,28,22,44
134,122,2016,9,21,7,17
109,107,2016,12,11,20,23
112,104,2016,7,5,8,46
148,122,2016,12,3,22,6
104,136,2016,7,23,11,31
128,143,2016,8,29,15,20
138,122,2016,8,26,20,6
150,121,2016,6,18,17,34
144,103,2016,12,20,9,6
139,105,2016,7,27,6,47
149,122,2016,6,23,10,22
146,107,2016,9,10,23,33
129,137,2016,10,22,8,39
107,149,2016,12,3,17,13
139,131,2016,9,18,6,18
130,137,2016,11,22,20,35
143,113,2016,7,1,18,41
109,108,2016,6,30,20,1
129,126,2016,9,9,18,48
116,133,2016,11,28,13,8
118,140,2016,7,25,16,45
132,143,2016,7,10,18,39
128,147,2016,6,28,7,55
141,122,2016,7,15,15,2
117,112,2016,10,3,19,30
108,106,2016,12,3,8,34
104,131,2016,8,9,7,38
108,109,2016,8,1,16,30
134,124,2016,8,25,9,52
123,149,2016,6,15,13,20
144,130,2016,9,29,15,14
121,129,2016,12,27,7,37
150,127,2016,7,14,11,52
109,137,2016,9,29,14,13
135,125,2016,9,27,21,11
120,110,2016,10,27,8,41
116,119,2016,11,18,6,29
141,138,2016,12,1,9,2
117,141,2016,12,19,21,43
148,135,2016,7,27,14,25
134,119,2016,9,30,12,23
136,119,2016,11,1,9,29
116,112,2016,10,29,16,32
142,106,2016,9,11,22,42
105,144,2016,9,24,8,7
144,118,2016,8,30,15,4
136,138,2016,7,12,20,35
112,141,2016,10,3,21,14
102,150,2016,6,13,16,40
148,118,2016,12,13,17,4
137,146,2016,6,27,22,40
120,125,2016,10,22,19,34
150,103,2016,9,29,5,15
135,125,2016,12,21,17,49
139,128,2016,8,13,23,11
116,134,2016,7,5,10,35
129,145,2016,6,5,18,52
132,149,2016,7,30,17,23
102,115,2016,8,28,18,16
102,103,2016,6,6,18,8
122,123,2016,10,8,15,48
141,112,2016,11,10,10,15
131,150,2016,12,13,17,25
139,145,2016,8,11,16,51
127,129,2016,12,8,8,48
135,146,2016,7,26,23,21
107,150,2016,8,30,11,37
107,130,2016,6,25,11,53
135,124,2016,9,11,14,0
132,128,2016,12,21,8,17
118,126,2016,12,13,8,24
135,104,2016,8,12,15,52
132,136,2016,11,13,12,14
143,137,2016,7,17,8,32
123,123,2016,12,13,12,26
118,138,2016,7,25,13,55
112,135,2016,12,13,9,55
150,114,2016,11,7,7,33
148,135,2016,8,18,18,48
133,109,2016,11,11,12,57
136,107,2016,11,3,9,5
123,120,2016,7,10,9,43
120,128,2016,12,30,10,27
147,135,2016,6,14,14,51
129,108,2016,12,30,19,53
115,106,2016,8,29,23,14
117,130,2016,11,7,12,58
147,121,2016,6,29,16,59
139,130,2016,11,13,13,45
117,123,2016,11,4,12,1
125,105,2016,9,24,19,15
123,124,2016,10,17,8,0
128,101,2016,6,11,20,52
142,136,2016,12,27,23,5
149,124,2016,9,18,7,45
105,135,2016,11,29,20,35
119,117,2016,12,17,18,36
133,102,2016,6,25,22,1
108,116,2016,10,1,17,9
131,117,2016,8,13,22,49
134,119,2016,7,1,22,42
130,140,2016,11,11,19,26
133,126,2016,8,25,17,25
102,117,2016,6,27,10,18
122,117,2016,12,2,18,34
108,129,2016,10,30,14,18
134,122,2016,6,26,10,19
129,104,2016,6,22,21,23
